城市,时间,温度,体感温度,露水,潮湿,降雨,降雨概率,preciptype,下雪,下雪深度,windgust,风速,风向角度,海平面压力,云层,可见度,太阳辐射,solarenergy,uvindex,severerisk,天气现象,icon
shenzhen,2023-08-15T20:00:00,28.7,35.8,26.7,88.73,0,0,,0,0,28.8,3.9,163,1005.9,91.9,25.1,0,0,0,60,Overcast,cloudy
shenzhen,2023-08-15T21:00:00,29.9,38.2,26.6,82.41,0,0,,0,0,19.4,15.9,209,1006.4,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-15T22:00:00,29.9,38.2,26.6,82.41,0,0,,0,0,19.8,15.7,171,1007,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-15T23:00:00,27.8,33.4,26.4,92.22,0,0,,0,0,28.8,0.6,237,1007.5,90,24.2,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-16T00:00:00,29.9,38.2,26.6,82.41,0,0,,0,0,21.6,19.1,197,1007,32,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-16T01:00:00,29.9,37.5,26.2,80.15,0,0,,0,0,23,16.3,206,1007,32,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-16T02:00:00,26.7,30.5,26.2,97.54,0,0,,0,0,28.8,1,224,1006.7,66.4,29,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-16T03:00:00,29.1,36.5,26.6,86.79,0,0,,0,0,27.4,15.7,215,1006.4,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-16T04:00:00,29.1,35.9,26.2,84.63,0,0,,0,0,27.4,15.7,215,1006.4,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-16T05:00:00,26.2,26.2,25.8,97.36,0,0,,0,0,28.8,0.6,223,1006.8,50.3,26.7,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-16T06:00:00,29.1,35.9,26.2,84.41,0,0,,0,0,22.3,9.9,225,1007,38.5,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-16T07:00:00,29.9,38.2,26.6,82.41,0,0,,0,0,20.2,12.5,235,1007.4,30,10,53,0.2,1,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-16T08:00:00,29.7,38.5,27.2,86.35,0,0,,0,0,28.8,0.6,214,1007.6,60,22.3,255,0.9,3,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-16T09:00:00,31.1,39.4,26.2,75.25,0,0,,0,0,18,9.7,232,1007.9,38.5,10,479,1.7,5,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-16T10:00:00,31.1,39.6,26.3,75.71,0,0,,0,0,17.6,11.2,208,1008,30,10,679,2.4,7,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-16T11:00:00,33.2,42.5,26,66.08,0,0,,0,0,28.8,11,248,1007.9,54.2,25.5,838,3,8,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-16T12:00:00,32.1,41.2,26.3,71.72,0,0,,0,0,20.9,15,203,1007.4,30,10,934,3.4,9,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-16T13:00:00,33.4,43.2,26.3,66.56,0,0,,0,0,21.2,19.5,198,1006.4,30,10,930,3.3,9,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-16T14:00:00,34.5,42.8,25.1,58.22,0,0,,0,0,28.8,11,257,1005.7,56.1,26.7,893,3.2,9,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-16T15:00:00,32.9,41.8,25.9,66.64,0,0,,0,0,20.5,22,194,1005,30,10,778,2.8,8,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-16T16:00:00,32.9,43.1,26.7,69.85,0,0,,0,0,21.2,20.5,190,1004.4,30,10,632,2.3,6,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-16T17:00:00,33.6,42.5,25.7,63.73,0,0,,0,0,25.2,11.3,211,1004.4,65.8,28.4,426,1.5,4,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-16T18:00:00,31.9,41.7,26.8,74.35,0,0,,0,0,23,23.5,186,1004.5,30,10,219,0.8,2,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-16T19:00:00,30.9,39.3,26.2,75.89,0,0,,0,0,23,21.2,188,1005,30,10,43,0.2,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-16T20:00:00,30.1,37.8,26.2,79.74,0,0,,0,0,25.2,0.9,228,1005.2,82.3,27.4,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-16T21:00:00,30.5,39.9,27.1,82.2,0,0,,0,0,20.9,18.9,187,1005.4,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-16T22:00:00,30.5,39.9,27.1,82.2,0,0,,0,0,21.2,18,193,1005.5,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-16T23:00:00,28.2,34.7,26.6,91.07,0,0,,0,0,25.2,0.7,230,1006.3,80.3,25.5,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-17T00:00:00,30,38.4,26.7,82.14,0,0,,0,0,23,14.6,197,1006,38.5,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-17T01:00:00,29.9,38.3,26.7,82.63,0,0,,0,0,23,17.1,202,1006,38.5,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-17T02:00:00,27.9,33.9,26.7,93.65,0,0,,0,0,25.2,0.9,221,1006,74.5,26.7,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-17T03:00:00,29.9,37.6,26.2,80.37,0,0,,0,0,21.6,13.1,207,1005.4,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-17T04:00:00,29.9,38.2,26.6,82.41,0,0,,0,0,20.2,12.5,217,1005,48,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-17T05:00:00,27.5,33,26.7,94.94,0,0,,0,0,25.2,0.6,225,1005.2,76.1,26.7,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-17T06:00:00,29.9,38.2,26.6,82.41,0,0,,0,0,18.4,13.1,226,1005.4,48,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-17T07:00:00,29.9,38.2,26.6,82.41,0,0,,0,0,13.7,11.4,226,1006,30,10,48,0.2,0,60,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-17T08:00:00,30.1,39.3,27.2,84.61,0,0,,0,0,25.2,4.1,247,1006,65.8,24.7,255,0.9,3,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-17T09:00:00,31.1,40.8,27.1,79.34,0,0,,0,0,10.1,14,219,1006,30,10,480,1.7,5,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-17T10:00:00,32.1,43.3,27.5,77.05,0,0,,0,0,13,14.3,219,1006,30,10,681,2.5,7,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-17T11:00:00,33.4,44.3,26.9,69.11,0,0,,0,0,22.4,10.6,249,1005.5,70.3,23.7,838,3,8,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-17T12:00:00,31.6,40.3,26.2,72.78,0,0,,0,0,14.4,20.1,275,1005.4,60.3,9.1,936,3.4,9,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-17T13:00:00,30.3,37.3,25.6,76.06,0,0,,0,0,16.2,14.8,281,1005,68.8,9.1,969,3.5,10,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-17T14:00:00,27.5,31.9,25.2,86.97,0,0,,0,0,25.2,11.1,15,1004.8,90,23.8,927,3.3,9,60,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-17T15:00:00,29.6,36.4,25.7,79.83,0,0,,0,0,16.9,9.9,10,1004,40.6,10,795,2.9,8,60,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-17T16:00:00,30.4,37.7,25.7,76.27,0,0,,0,0,21.2,10.4,259,1003,50,10,626,2.3,6,60,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-17T17:00:00,30.1,37.9,26.2,79.45,0.003,100,rain,0,0,25.2,0.7,58,1003.5,91.9,23.8,428,1.5,4,60,"Rain, Overcast",rain
shenzhen,2023-08-17T18:00:00,30.5,37.9,25.7,75.82,0,0,,0,0,26.6,12,196,1003,38.5,10,241,0.9,2,60,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-17T19:00:00,29.1,37,27.1,89,0,0,,0,0,31.3,10.8,180,1002,100,10,43,0.2,0,60,Overcast,cloudy
shenzhen,2023-08-17T20:00:00,28.2,34.7,26.7,91.38,0.006,100,rain,0,0,25.2,4.3,12,1003.7,91.9,26.7,0,0,0,60,"Rain, Overcast",rain
shenzhen,2023-08-17T21:00:00,29.9,38.2,26.6,82.41,0,0,,0,0,24.1,10,172,1004.4,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-17T22:00:00,29,34.9,25.5,81.44,0,0,,0,0,22.3,17.3,199.9,1005,100,24.1,0,0,0,60,Overcast,cloudy
shenzhen,2023-08-17T23:00:00,28.5,33.8,25.3,82.85,0,0,rain,0,0,21.2,15.5,200,1005,100,14.4,0,0,0,60,Overcast,cloudy
shenzhen,2023-08-18T00:00:00,29.5,38.1,27.2,87.58,0,0,,0,0,22.3,11,171,1005,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-18T01:00:00,29.9,37.5,26.2,81.01,0,0,,0,0,23.8,20.9,220,1005,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-18T02:00:00,26.9,30.9,26.2,96.15,0,0,,0,0,21.6,1.3,217,1004.1,91.9,24.4,0,0,0,60,Overcast,cloudy
shenzhen,2023-08-18T03:00:00,29.9,39.5,27.5,86.87,0,0,,0,0,23,12.2,207,1003.4,58.3,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-18T04:00:00,29.5,37.9,27.1,86.83,0,0,,0,0,20.9,12.7,202,1003,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-18T05:00:00,26.6,26.6,26,96.38,0,0,,0,0,21.6,1,225,1003.1,74.2,19.7,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-18T06:00:00,29.1,37.6,27.5,91.49,0,0,,0,0,12.2,14.1,211,1003,48,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-18T07:00:00,29.9,39.5,27.5,86.87,0,0,,0,0,6.1,11.4,210,1003.4,48,10,50,0.2,1,60,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-18T08:00:00,30.1,41,28.1,89.07,0.025,100,rain,0,0,21.6,4.3,282,1003.7,76.1,22.1,246,0.9,2,30,"Rain, Partially cloudy",rain
shenzhen,2023-08-18T09:00:00,30.1,39.9,27.5,86.08,0,0,,0,0,4.3,14.2,242,1003,66.8,7.6,479,1.7,5,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-18T10:00:00,29.8,38.1,26.7,83.42,0,0,,0,0,6.1,11.6,283,1003.9,66.8,7.2,661,2.4,7,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-18T11:00:00,26.3,26.3,25.8,96.71,11.7,100,rain,0,0,25.2,4.4,28,1004.9,91.9,8.8,787,2.8,8,30,"Rain, Overcast",rain
shenzhen,2023-08-18T12:00:00,28.3,34.2,26.1,88.1,0,0,,0,0,9,9.1,40,1004.9,68.8,9.1,916,3.3,9,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-18T13:00:00,27.7,33,26.2,91.4,0,0,,0,0,10.1,7.4,89,1003.4,50,10,968,3.5,10,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-18T14:00:00,27.8,32.6,25.2,85.63,0.684,100,rain,0,0,25.2,3.7,137,1003.3,90,22.3,926,3.3,9,60,"Rain, Partially cloudy",rain
shenzhen,2023-08-18T15:00:00,28.9,35.7,26.2,84.91,0,0,,0,0,13.7,7.6,302,1002,33.9,10,781,2.8,8,60,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-18T16:00:00,30.4,38.4,26.2,78.02,0,0,,0,0,12.6,6.2,284,1001.5,33.9,10,667,2.4,7,60,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-18T17:00:00,32.1,42.6,27,74.51,0,0,,0,0,25.2,4.2,236,1002.2,72.3,23.3,459,1.7,5,60,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-18T18:00:00,30,37.7,26.2,79.68,0,0,,0,0,16.9,10,190,1003.4,50,10,238,0.9,2,60,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-18T19:00:00,29.5,37.3,26.6,84.68,0,0,,0,0,21.6,9.5,185,1003.4,46.1,10,42,0.2,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-18T20:00:00,28.6,35.3,26.4,87.79,0,0,,0,0,25.2,0.3,75,1004.1,78.4,19.2,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-18T21:00:00,29.5,37.3,26.6,84.68,0,0,,0,0,20.2,9.6,123,1004,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-18T22:00:00,29.5,37.3,26.6,84.68,0,0,,0,0,15.8,6.7,174,1004.4,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-18T23:00:00,27.3,32.2,26.4,95.06,0,0,,0,0,21.6,3.6,170,1004.7,80,15.6,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-19T00:00:00,29.1,36.3,26.5,86.27,0,0,,0,0,19.8,7.4,164,1004.9,48,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-19T01:00:00,29.1,36.5,26.6,86.79,0,0,,0,0,20.5,11.5,141,1005,48,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-19T02:00:00,27.3,32.2,26.4,94.96,0,0,,0,0,18,3.5,127,1005.1,90,16,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-19T03:00:00,29.1,36.5,26.6,86.79,0,0,,0,0,17.3,8,169,1004,68.8,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-19T04:00:00,29.1,36.5,26.6,86.79,0,0,,0,0,16.2,6.1,166,1004,68.8,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-19T05:00:00,26.7,30.5,26.2,97.33,0,0,rain,0,0,18,0.2,345,1004.3,90,18.1,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-19T06:00:00,28.1,34.4,26.6,91.43,0,0,,0,0,13,9.6,276,1004.9,58.3,8.1,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-19T07:00:00,28.5,35.3,26.6,89.19,0,0,,0,0,10.1,7.4,290,1005,41.5,10,46,0.2,0,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-19T08:00:00,29.1,37.3,27.2,89.35,32.692,100,rain,0,0,10.8,7,113,1005.5,90,15.8,229,0.8,2,30,"Rain, Partially cloudy",rain
shenzhen,2023-08-19T09:00:00,29.5,37.3,26.6,84.24,0,0,,0,0,8.3,6.2,106,1006,40.6,9.3,475,1.7,5,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-19T10:00:00,30.3,38.6,26.5,80.41,0,0,,0,0,6.8,10.2,336,1006,32,9.5,677,2.4,7,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-19T11:00:00,31.4,42.2,27.5,79.63,0,0,,0,0,10.8,7.6,104,1005.9,90,19.9,781,2.8,8,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-19T12:00:00,28.9,35,25.6,82.08,0,0,,0,0,9.4,12.3,218,1005.9,68.8,8.1,686,2.5,7,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-19T13:00:00,28.5,32.9,24.2,77.27,0,0,,0,0,11.2,15.5,100,1006.4,68.8,10,634,2.3,6,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-19T14:00:00,25,25,24.8,98.45,1.028,100,rain,0,0,39.6,1.1,30,1004.6,91.9,11.2,807,2.9,8,30,"Rain, Overcast",rain
shenzhen,2023-08-19T15:00:00,29,34.7,25.2,79.82,0,0,,0,0,13.3,19.5,206,1004,33.9,10,710,2.6,7,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-19T16:00:00,29.1,35.9,26.1,83.91,0,0,,0,0,15.8,15.3,135,1004,30,10,503,1.8,5,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-19T17:00:00,30.6,37.6,25.3,73.47,0,0,,0,0,39.6,4.2,191,1004.1,76.1,28.8,266,1,3,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-19T18:00:00,29.5,36.1,25.6,79.82,0,0,,0,0,13.7,19.5,191,1004.4,33.9,10,104,0.4,1,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-19T19:00:00,29.5,36.1,25.7,80.03,0,0,,0,0,16.2,12.8,136,1004.4,30,10,23,0.1,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-19T20:00:00,27.6,32.4,25.6,89.1,0,0,,0,0,39.6,4.1,145,1005.6,91.9,33.1,0,0,0,30,Overcast,cloudy
shenzhen,2023-08-19T21:00:00,29.5,36.8,26.2,82.57,0,0,,0,0,17.3,17.4,192,1006.4,46.1,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-19T22:00:00,29.4,36.6,26.2,83.06,0,0,,0,0,14.8,15,191,1006.4,30,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-19T23:00:00,26.6,26.6,25.7,95.28,0,0,,0,0,39.6,0.9,159,1006.9,90,25.6,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-20T00:00:00,28.9,36.2,26.6,87.31,0,0,,0,0,13,14.2,123,1006.4,32,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-20T01:00:00,28.5,35.3,26.6,89.49,0,0,,0,0,12.6,12.3,125,1006,33.9,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-20T02:00:00,26.8,30.6,25.9,95.19,0,0,,0,0,18,3.7,51,1006.2,91.9,26.2,0,0,0,60,Overcast,cloudy
shenzhen,2023-08-20T03:00:00,28.9,35.5,25.9,83.89,0,0,,0,0,12.2,12.3,126,1005.4,40.6,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-20T04:00:00,28.5,34.7,26.2,87.27,0,0,,0,0,14,8.2,126,1005.4,40.6,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-20T05:00:00,26.5,26.5,25.9,96.7,0,0,rain,0,0,14.4,3.5,89,1006,90,30.2,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-20T06:00:00,27.5,31.9,25.3,87.41,0,0,rain,0,0,18,6.8,177,1006.5,68.8,6.7,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-20T07:00:00,28.1,33.1,25.3,84.54,0,0,,0,0,17.3,4.2,190,1007,66.8,9.1,47,0.2,0,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-20T08:00:00,28.9,36.8,27.1,89.74,1.27,100,rain,0,0,10.8,3.6,77,1007.8,90,27.7,232,0.8,2,30,"Rain, Partially cloudy",rain
shenzhen,2023-08-20T09:00:00,29.4,36.1,25.7,80.51,0,0,,0,0,14,7.2,165,1008,50,10,473,1.7,5,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-20T10:00:00,29.5,36.2,25.7,80.3,0,0,,0,0,15.5,7.2,98,1008.9,40.6,9.8,678,2.4,7,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-20T11:00:00,30.3,39.3,27,82.66,0,0,,0,0,10.8,3.9,102,1008.6,84.2,30.6,836,3,8,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-20T12:00:00,30.4,37.6,25.6,75.8,0,0,,0,0,15.1,5.7,323,1008,38.5,10,932,3.4,9,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-20T13:00:00,30.4,38.2,26.1,77.95,0,0,,0,0,16.6,6.5,182,1008,38.5,10,967,3.5,10,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-20T14:00:00,30.4,38.7,26.4,79.43,0.015,100,rain,0,0,14.4,7.2,78,1007.5,91.9,31.1,927,3.3,9,30,"Rain, Overcast",rain
shenzhen,2023-08-20T15:00:00,30.4,37.7,25.7,76.27,0,0,,0,0,16.2,9.1,180,1006.5,30,10,769,2.8,8,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-20T16:00:00,30.8,39.1,26.2,76.34,0,0,,0,0,14.8,9.9,181,1006.4,30,10,528,1.9,5,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-20T17:00:00,30.4,39.3,26.8,81.1,0.259,100,rain,0,0,32.4,7.8,106,1006.3,81.9,31,358,1.3,4,30,"Rain, Partially cloudy",rain
shenzhen,2023-08-20T18:00:00,29.9,37.5,26.1,79.88,0,0,,0,0,14.4,14.2,165,1006.4,30,10,157,0.6,2,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-20T19:00:00,30.4,37.6,25.6,75.8,0,0,,0,0,14.8,10,143,1007,30,10,22,0.1,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-20T20:00:00,28.1,34.1,26.3,90.2,0,0,,0,0,32.4,7.3,125,1008.2,90,33.2,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-20T21:00:00,29.5,36.1,25.6,79.82,0,0,,0,0,13,10,152,1008,30,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-20T22:00:00,28.9,35.6,26.1,84.4,0,0,,0,0,10.8,8.7,133,1008.4,30,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-20T23:00:00,27.4,32.6,26.5,94.75,0,0,,0,0,32.4,7.4,128,1009.1,83.9,33.2,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-21T00:00:00,28.9,35.1,25.6,82.3,0,0,,0,0,8.3,10.8,108,1008,30,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-21T01:00:00,28.9,35.1,25.6,82.3,0,0,,0,0,8.3,8.3,98,1008,30,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-21T02:00:00,26.9,31,26.2,95.76,0,0,,0,0,32.4,3.9,130,1007.8,60,31.1,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-21T03:00:00,28.5,34.1,25.6,84.35,0,0,,0,0,10.1,10.1,104,1007.4,30,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-21T04:00:00,28.5,33.8,25.3,82.74,0,0,,0,0,8.3,10,105,1007.4,30,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-21T05:00:00,26.7,30.3,25.9,95.35,0,0,,0,0,10.8,0.4,52,1007.7,46.1,30.9,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-21T06:00:00,28.1,33.4,25.7,87,0,0,,0,0,7.6,7.8,86,1007.4,30,10,0,0,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-21T07:00:00,28.9,35.7,26.2,84.91,0,0,,0,0,6.5,7.6,87,1007.9,33.9,10,38,0.1,0,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-21T08:00:00,29.3,37.6,27.1,87.6,0.06,100,rain,0,0,10.8,4,88,1008.3,90,30.9,163,0.6,2,30,"Rain, Partially cloudy",rain
shenzhen,2023-08-21T09:00:00,31.4,39.9,26.2,73.88,0,0,,0,0,7.2,12.9,115,1008.4,40.6,10,206,0.7,2,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-21T10:00:00,31.4,40.1,26.3,74.32,0,0,,0,0,8.3,15.8,125,1008,50,10,619,2.2,6,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-21T11:00:00,32.1,42.4,27,74.14,0,0,,0,0,14.4,10.4,83,1008.2,90,31.1,797,2.9,8,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-21T12:00:00,31.8,40.9,26.3,72.55,0,0,,0,0,13,12.9,292,1007.5,40.6,10,904,3.3,9,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-21T13:00:00,31.4,40.1,26.2,73.88,0,0,,0,0,15.5,12.7,200,1007.4,40.6,10,938,3.4,9,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-21T14:00:00,31.3,40.8,26.8,77.33,0,0,,0,0,25.2,7.9,123,1006.7,90,31.1,916,3.3,9,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-21T15:00:00,31.4,40.1,26.2,73.88,0,0,,0,0,15.1,16.8,199,1005.5,40.6,10,660,2.4,7,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-21T16:00:00,30.9,38.2,25.4,72.4,0,0,,0,0,14,11.9,173,1005.5,32,10,500,1.8,5,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-21T17:00:00,29.4,36.4,26,81.97,0,0,,0,0,25.2,7.6,126,1005.8,82.3,34.3,362,1.3,4,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-21T18:00:00,29.9,37,25.7,78.16,0,0,,0,0,14.8,12.3,115,1006,32,10,131,0.5,1,30,Partially cloudy,partly-cloudy-day
shenzhen,2023-08-21T19:00:00,29.9,36.9,25.6,77.68,0,0,,0,0,14.4,12.9,127,1006.4,32,10,18,0.1,0,30,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-21T20:00:00,28.1,34.1,26.3,89.89,0,0,,0,0,25.2,4.3,137,1006.8,78.4,32.2,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-21T21:00:00,29.9,37,25.7,78.16,0,0,,0,0,14,10.2,246,1007.4,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-21T22:00:00,29.9,37,25.7,78.16,0,0,,0,0,13.3,11.9,142,1007.5,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-21T23:00:00,27.7,33.1,26.3,92.5,0,0,,0,0,25.2,4.4,107,1008.2,90,31.1,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-22T00:00:00,29.5,36.2,25.7,80.3,0,0,,0,0,13,8.5,162,1008,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-22T01:00:00,29.5,36.2,25.7,80.3,0,0,,0,0,12.6,9.6,156,1007.4,33.9,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-22T02:00:00,27,31.2,26.1,95.27,0,0,,0,0,18,0.5,114,1007.5,90,31.1,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-22T03:00:00,28.6,34.8,26.1,86.22,0,0,,0,0,13.3,10,122,1006.5,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-22T04:00:00,28.6,34.9,26.1,86,0,0,,0,0,12.6,9.5,164,1006.4,30,10,0,0,0,60,Partially cloudy,partly-cloudy-night
shenzhen,2023-08-22T05:00:00,26,26,25.6,97.4,0,0,,0,0,14.4,0.3,119,1006.5,90,31.1,0,0,0,60,Partially cloudy,partly-cloudy-night
